,imsi,Outlet_Type,Outlet_Location_Type
7143,OUT01,Grocery Store,Tier 1
7165,OUT01,Grocery Store,Tier 1
7166,OUT01,Grocery Store,Tier 1
7214,OUT01,Grocery Store,Tier 1
7217,OUT01,Grocery Store,Tier 1
7221,OUT01,Grocery Store,Tier 1
7278,OUT01,Grocery Store,Tier 1
7287,OUT01,Grocery Store,Tier 1
7333,OUT01,Grocery Store,Tier 1
7351,OUT01,Grocery Store,Tier 1
7355,OUT01,Grocery Store,Tier 1
7368,OUT01,Grocery Store,Tier 1
7379,OUT01,Grocery Store,Tier 1
7386,OUT01,Grocery Store,Tier 1
7387,OUT01,Grocery Store,Tier 1
7416,OUT01,Grocery Store,Tier 1
7427,OUT01,Grocery Store,Tier 1
7438,OUT01,Grocery Store,Tier 1
7466,OUT01,Grocery Store,Tier 1
7470,OUT01,Grocery Store,Tier 1
7478,OUT01,Grocery Store,Tier 1
7498,OUT01,Grocery Store,Tier 1
7499,OUT01,Grocery Store,Tier 1
7504,OUT01,Grocery Store,Tier 1
7530,OUT01,Grocery Store,Tier 1
7554,OUT01,Grocery Store,Tier 1
7558,OUT01,Grocery Store,Tier 1
7567,OUT01,Grocery Store,Tier 1
7580,OUT01,Grocery Store,Tier 1
7581,OUT01,Grocery Store,Tier 1
7585,OUT01,Grocery Store,Tier 1
7598,OUT01,Grocery Store,Tier 1
7602,OUT01,Grocery Store,Tier 1
7603,OUT01,Grocery Store,Tier 1
7612,OUT01,Grocery Store,Tier 1
7626,OUT01,Grocery Store,Tier 1
7641,OUT01,Grocery Store,Tier 1
7656,OUT01,Grocery Store,Tier 1
7674,OUT01,Grocery Store,Tier 1
7703,OUT01,Grocery Store,Tier 1
7707,OUT01,Grocery Store,Tier 1
7713,OUT01,Grocery Store,Tier 1
7734,OUT01,Grocery Store,Tier 1
7744,OUT01,Grocery Store,Tier 1
7748,OUT01,Grocery Store,Tier 1
7750,OUT01,Grocery Store,Tier 1
7753,OUT01,Grocery Store,Tier 1
7760,OUT01,Grocery Store,Tier 1
7763,OUT01,Grocery Store,Tier 1
7793,OUT01,Grocery Store,Tier 1
7807,OUT01,Grocery Store,Tier 1
7813,OUT01,Grocery Store,Tier 1
7815,OUT01,Grocery Store,Tier 1
7861,OUT01,Grocery Store,Tier 1
7866,OUT01,Grocery Store,Tier 1
7873,OUT01,Grocery Store,Tier 1
7881,OUT01,Grocery Store,Tier 1
7887,OUT01,Grocery Store,Tier 1
7921,OUT01,Grocery Store,Tier 1
7923,OUT01,Grocery Store,Tier 1
7932,OUT01,Grocery Store,Tier 1
7945,OUT01,Grocery Store,Tier 1
7949,OUT01,Grocery Store,Tier 1
7953,OUT01,Grocery Store,Tier 1
7996,OUT01,Grocery Store,Tier 1
7998,OUT01,Grocery Store,Tier 1
8016,OUT01,Grocery Store,Tier 1
8025,OUT01,Grocery Store,Tier 1
8030,OUT01,Grocery Store,Tier 1
8031,OUT01,Grocery Store,Tier 1
8060,OUT01,Grocery Store,Tier 1
8090,OUT01,Grocery Store,Tier 1
8124,OUT01,Grocery Store,Tier 1
8194,OUT01,Grocery Store,Tier 1
8206,OUT01,Grocery Store,Tier 1
8215,OUT01,Grocery Store,Tier 1
8236,OUT01,Grocery Store,Tier 1
8250,OUT01,Grocery Store,Tier 1
8273,OUT01,Grocery Store,Tier 1
8288,OUT01,Grocery Store,Tier 1
8292,OUT01,Grocery Store,Tier 1
8337,OUT01,Grocery Store,Tier 1
8343,OUT01,Grocery Store,Tier 1
8345,OUT01,Grocery Store,Tier 1
8353,OUT01,Grocery Store,Tier 1
8358,OUT01,Grocery Store,Tier 1
8367,OUT01,Grocery Store,Tier 1
8375,OUT01,Grocery Store,Tier 1
8390,OUT01,Grocery Store,Tier 1
8404,OUT01,Grocery Store,Tier 1
8405,OUT01,Grocery Store,Tier 1
8442,OUT01,Grocery Store,Tier 1
8449,OUT01,Grocery Store,Tier 1
8454,OUT01,Grocery Store,Tier 1
8458,OUT01,Grocery Store,Tier 1
8469,OUT01,Grocery Store,Tier 1
8480,OUT01,Grocery Store,Tier 1
8490,OUT01,Grocery Store,Tier 1
12,OUT01,Grocery Store,Tier 1
23,OUT01,Grocery Store,Tier 1
30,OUT01,Grocery Store,Tier 1
58,OUT01,Grocery Store,Tier 1
76,OUT01,Grocery Store,Tier 1
78,OUT01,Grocery Store,Tier 1
104,OUT01,Grocery Store,Tier 1
106,OUT01,Grocery Store,Tier 1
135,OUT01,Grocery Store,Tier 1
138,OUT01,Grocery Store,Tier 1
193,OUT01,Grocery Store,Tier 1
196,OUT01,Grocery Store,Tier 1
199,OUT01,Grocery Store,Tier 1
211,OUT01,Grocery Store,Tier 1
216,OUT01,Grocery Store,Tier 1
220,OUT01,Grocery Store,Tier 1
228,OUT01,Grocery Store,Tier 1
238,OUT01,Grocery Store,Tier 1
252,OUT01,Grocery Store,Tier 1
286,OUT01,Grocery Store,Tier 1
330,OUT01,Grocery Store,Tier 1
333,OUT01,Grocery Store,Tier 1
352,OUT01,Grocery Store,Tier 1
371,OUT01,Grocery Store,Tier 1
372,OUT01,Grocery Store,Tier 1
383,OUT01,Grocery Store,Tier 1
385,OUT01,Grocery Store,Tier 1
393,OUT01,Grocery Store,Tier 1
403,OUT01,Grocery Store,Tier 1
415,OUT01,Grocery Store,Tier 1
418,OUT01,Grocery Store,Tier 1
465,OUT01,Grocery Store,Tier 1
474,OUT01,Grocery Store,Tier 1
478,OUT01,Grocery Store,Tier 1
512,OUT01,Grocery Store,Tier 1
516,OUT01,Grocery Store,Tier 1
519,OUT01,Grocery Store,Tier 1
528,OUT01,Grocery Store,Tier 1
534,OUT01,Grocery Store,Tier 1
541,OUT01,Grocery Store,Tier 1
543,OUT01,Grocery Store,Tier 1
552,OUT01,Grocery Store,Tier 1
557,OUT01,Grocery Store,Tier 1
581,OUT01,Grocery Store,Tier 1
619,OUT01,Grocery Store,Tier 1
637,OUT01,Grocery Store,Tier 1
649,OUT01,Grocery Store,Tier 1
657,OUT01,Grocery Store,Tier 1
683,OUT01,Grocery Store,Tier 1
694,OUT01,Grocery Store,Tier 1
703,OUT01,Grocery Store,Tier 1
722,OUT01,Grocery Store,Tier 1
774,OUT01,Grocery Store,Tier 1
803,OUT01,Grocery Store,Tier 1
824,OUT01,Grocery Store,Tier 1
841,OUT01,Grocery Store,Tier 1
858,OUT01,Grocery Store,Tier 1
871,OUT01,Grocery Store,Tier 1
887,OUT01,Grocery Store,Tier 1
888,OUT01,Grocery Store,Tier 1
903,OUT01,Grocery Store,Tier 1
969,OUT01,Grocery Store,Tier 1
1011,OUT01,Grocery Store,Tier 1
1046,OUT01,Grocery Store,Tier 1
1052,OUT01,Grocery Store,Tier 1
1069,OUT01,Grocery Store,Tier 1
1070,OUT01,Grocery Store,Tier 1
1149,OUT01,Grocery Store,Tier 1
1164,OUT01,Grocery Store,Tier 1
1191,OUT01,Grocery Store,Tier 1
1195,OUT01,Grocery Store,Tier 1
1224,OUT01,Grocery Store,Tier 1
1233,OUT01,Grocery Store,Tier 1
1234,OUT01,Grocery Store,Tier 1
1250,OUT01,Grocery Store,Tier 1
1259,OUT01,Grocery Store,Tier 1
1270,OUT01,Grocery Store,Tier 1
1294,OUT01,Grocery Store,Tier 1
1313,OUT01,Grocery Store,Tier 1
1332,OUT01,Grocery Store,Tier 1
1345,OUT01,Grocery Store,Tier 1
1348,OUT01,Grocery Store,Tier 1
1363,OUT01,Grocery Store,Tier 1
1368,OUT01,Grocery Store,Tier 1
1385,OUT01,Grocery Store,Tier 1
1401,OUT01,Grocery Store,Tier 1
1435,OUT01,Grocery Store,Tier 1
1439,OUT01,Grocery Store,Tier 1
1455,OUT01,Grocery Store,Tier 1
1500,OUT01,Grocery Store,Tier 1
1505,OUT01,Grocery Store,Tier 1
1510,OUT01,Grocery Store,Tier 1
1525,OUT01,Grocery Store,Tier 1
1531,OUT01,Grocery Store,Tier 1
1544,OUT01,Grocery Store,Tier 1
1552,OUT01,Grocery Store,Tier 1
1564,OUT01,Grocery Store,Tier 1
1591,OUT01,Grocery Store,Tier 1
1593,OUT01,Grocery Store,Tier 1
1629,OUT01,Grocery Store,Tier 1
1684,OUT01,Grocery Store,Tier 1
1733,OUT01,Grocery Store,Tier 1
1741,OUT01,Grocery Store,Tier 1
1778,OUT01,Grocery Store,Tier 1
1781,OUT01,Grocery Store,Tier 1
1783,OUT01,Grocery Store,Tier 1
1785,OUT01,Grocery Store,Tier 1
1805,OUT01,Grocery Store,Tier 1
1807,OUT01,Grocery Store,Tier 1
1836,OUT01,Grocery Store,Tier 1
1852,OUT01,Grocery Store,Tier 1
1872,OUT01,Grocery Store,Tier 1
1894,OUT01,Grocery Store,Tier 1
1902,OUT01,Grocery Store,Tier 1
1915,OUT01,Grocery Store,Tier 1
1919,OUT01,Grocery Store,Tier 1
1955,OUT01,Grocery Store,Tier 1
1970,OUT01,Grocery Store,Tier 1
1972,OUT01,Grocery Store,Tier 1
2001,OUT01,Grocery Store,Tier 1
2010,OUT01,Grocery Store,Tier 1
2057,OUT01,Grocery Store,Tier 1
2075,OUT01,Grocery Store,Tier 1
2135,OUT01,Grocery Store,Tier 1
2146,OUT01,Grocery Store,Tier 1
2162,OUT01,Grocery Store,Tier 1
2167,OUT01,Grocery Store,Tier 1
2179,OUT01,Grocery Store,Tier 1
2180,OUT01,Grocery Store,Tier 1
2230,OUT01,Grocery Store,Tier 1
2237,OUT01,Grocery Store,Tier 1
2240,OUT01,Grocery Store,Tier 1
2250,OUT01,Grocery Store,Tier 1
2256,OUT01,Grocery Store,Tier 1
2295,OUT01,Grocery Store,Tier 1
2302,OUT01,Grocery Store,Tier 1
2345,OUT01,Grocery Store,Tier 1
2351,OUT01,Grocery Store,Tier 1
2365,OUT01,Grocery Store,Tier 1
2380,OUT01,Grocery Store,Tier 1
2393,OUT01,Grocery Store,Tier 1
2408,OUT01,Grocery Store,Tier 1
