,Outlet_Identifier,Outlet_Size,Outlet_Type
314,OUT013,High,Supermarket Type1
315,OUT045,,Supermarket Type1
316,OUT045,,Supermarket Type1
317,OUT010,,Grocery Store
318,OUT045,,Supermarket Type1
319,OUT027,Medium,Supermarket Type3
320,OUT027,Medium,Supermarket Type3
321,OUT049,Medium,Supermarket Type1
322,OUT017,,Supermarket Type1
323,OUT017,,Supermarket Type1
324,OUT049,Medium,Supermarket Type1
325,OUT010,,Grocery Store
326,OUT013,High,Supermarket Type1
327,OUT045,,Supermarket Type1
328,OUT027,Medium,Supermarket Type3
329,OUT045,,Supermarket Type1
330,OUT013,High,Supermarket Type1
331,OUT027,Medium,Supermarket Type3
332,OUT045,,Supermarket Type1
333,OUT027,Medium,Supermarket Type3
334,OUT019,Small,Grocery Store
335,OUT027,Medium,Supermarket Type3
336,OUT046,Small,Supermarket Type1
337,OUT045,,Supermarket Type1
338,OUT017,,Supermarket Type1
339,OUT017,,Supermarket Type1
340,OUT027,Medium,Supermarket Type3
341,OUT013,High,Supermarket Type1
342,OUT013,High,Supermarket Type1
343,OUT045,,Supermarket Type1
344,OUT019,Small,Grocery Store
345,OUT049,Medium,Supermarket Type1
346,OUT049,Medium,Supermarket Type1
347,OUT049,Medium,Supermarket Type1
348,OUT049,Medium,Supermarket Type1
349,OUT018,Medium,Supermarket Type2
350,OUT018,Medium,Supermarket Type2
351,OUT045,,Supermarket Type1
352,OUT013,High,Supermarket Type1
353,OUT046,Small,Supermarket Type1
354,OUT049,Medium,Supermarket Type1
355,OUT046,Small,Supermarket Type1
356,OUT046,Small,Supermarket Type1
357,OUT027,Medium,Supermarket Type3
358,OUT046,Small,Supermarket Type1
359,OUT027,Medium,Supermarket Type3
360,OUT018,Medium,Supermarket Type2
361,OUT046,Small,Supermarket Type1
362,OUT045,,Supermarket Type1
363,OUT049,Medium,Supermarket Type1
364,OUT019,Small,Grocery Store
365,OUT013,High,Supermarket Type1
366,OUT035,Small,Supermarket Type1
367,OUT017,,Supermarket Type1
368,OUT018,Medium,Supermarket Type2
369,OUT017,,Supermarket Type1
370,OUT027,Medium,Supermarket Type3
371,OUT019,Small,Grocery Store
372,OUT045,,Supermarket Type1
373,OUT035,Small,Supermarket Type1
374,OUT013,High,Supermarket Type1
375,OUT018,Medium,Supermarket Type2
376,OUT046,Small,Supermarket Type1
377,OUT013,High,Supermarket Type1
378,OUT013,High,Supermarket Type1
379,OUT035,Small,Supermarket Type1
380,OUT027,Medium,Supermarket Type3
381,OUT027,Medium,Supermarket Type3
382,OUT018,Medium,Supermarket Type2
383,OUT017,,Supermarket Type1
384,OUT046,Small,Supermarket Type1
385,OUT035,Small,Supermarket Type1
386,OUT035,Small,Supermarket Type1
387,OUT010,,Grocery Store
388,OUT027,Medium,Supermarket Type3
389,OUT046,Small,Supermarket Type1
390,OUT046,Small,Supermarket Type1
391,OUT045,,Supermarket Type1
392,OUT046,Small,Supermarket Type1
393,OUT019,Small,Grocery Store
394,OUT045,,Supermarket Type1
395,OUT049,Medium,Supermarket Type1
396,OUT049,Medium,Supermarket Type1
397,OUT046,Small,Supermarket Type1
398,OUT018,Medium,Supermarket Type2
399,OUT045,,Supermarket Type1
400,OUT027,Medium,Supermarket Type3
401,OUT045,,Supermarket Type1
402,OUT035,Small,Supermarket Type1
403,OUT046,Small,Supermarket Type1
404,OUT027,Medium,Supermarket Type3
405,OUT019,Small,Grocery Store
406,OUT049,Medium,Supermarket Type1
407,OUT046,Small,Supermarket Type1
408,OUT013,High,Supermarket Type1
409,OUT027,Medium,Supermarket Type3
410,OUT046,Small,Supermarket Type1
411,OUT010,,Grocery Store
412,OUT018,Medium,Supermarket Type2
413,OUT046,Small,Supermarket Type1
414,OUT046,Small,Supermarket Type1
415,OUT017,,Supermarket Type1
416,OUT035,Small,Supermarket Type1
417,OUT019,Small,Grocery Store
418,OUT045,,Supermarket Type1
419,OUT017,,Supermarket Type1
420,OUT010,,Grocery Store
421,OUT045,,Supermarket Type1
422,OUT049,Medium,Supermarket Type1
423,OUT018,Medium,Supermarket Type2
424,OUT049,Medium,Supermarket Type1
425,OUT049,Medium,Supermarket Type1
426,OUT018,Medium,Supermarket Type2
427,OUT018,Medium,Supermarket Type2
428,OUT045,,Supermarket Type1
429,OUT045,,Supermarket Type1
430,OUT019,Small,Grocery Store
431,OUT046,Small,Supermarket Type1
432,OUT049,Medium,Supermarket Type1
433,OUT019,Small,Grocery Store
434,OUT019,Small,Grocery Store
435,OUT013,High,Supermarket Type1
436,OUT046,Small,Supermarket Type1
437,OUT045,,Supermarket Type1
438,OUT049,Medium,Supermarket Type1
439,OUT013,High,Supermarket Type1
440,OUT046,Small,Supermarket Type1
441,OUT046,Small,Supermarket Type1
442,OUT045,,Supermarket Type1
443,OUT049,Medium,Supermarket Type1
444,OUT018,Medium,Supermarket Type2
445,OUT035,Small,Supermarket Type1
446,OUT019,Small,Grocery Store
447,OUT013,High,Supermarket Type1
448,OUT017,,Supermarket Type1
449,OUT027,Medium,Supermarket Type3
450,OUT035,Small,Supermarket Type1
451,OUT046,Small,Supermarket Type1
452,OUT018,Medium,Supermarket Type2
453,OUT045,,Supermarket Type1
454,OUT013,High,Supermarket Type1
455,OUT035,Small,Supermarket Type1
456,OUT027,Medium,Supermarket Type3
457,OUT046,Small,Supermarket Type1
458,OUT027,Medium,Supermarket Type3
459,OUT013,High,Supermarket Type1
460,OUT013,High,Supermarket Type1
461,OUT017,,Supermarket Type1
462,OUT046,Small,Supermarket Type1
463,OUT017,,Supermarket Type1
464,OUT018,Medium,Supermarket Type2
465,OUT035,Small,Supermarket Type1
466,OUT013,High,Supermarket Type1
467,OUT017,,Supermarket Type1
468,OUT045,,Supermarket Type1
469,OUT018,Medium,Supermarket Type2
470,OUT045,,Supermarket Type1
471,OUT045,,Supermarket Type1
472,OUT027,Medium,Supermarket Type3
473,OUT049,Medium,Supermarket Type1
474,OUT046,Small,Supermarket Type1
475,OUT046,Small,Supermarket Type1
476,OUT035,Small,Supermarket Type1
477,OUT010,,Grocery Store
478,OUT045,,Supermarket Type1
479,OUT045,,Supermarket Type1
480,OUT013,High,Supermarket Type1
481,OUT035,Small,Supermarket Type1
482,OUT046,Small,Supermarket Type1
483,OUT010,,Grocery Store
484,OUT035,Small,Supermarket Type1
485,OUT027,Medium,Supermarket Type3
486,OUT045,,Supermarket Type1
487,OUT019,Small,Grocery Store
488,OUT046,Small,Supermarket Type1
489,OUT019,Small,Grocery Store
490,OUT019,Small,Grocery Store
491,OUT027,Medium,Supermarket Type3
492,OUT017,,Supermarket Type1
493,OUT010,,Grocery Store
494,OUT035,Small,Supermarket Type1
495,OUT049,Medium,Supermarket Type1
496,OUT013,High,Supermarket Type1
497,OUT027,Medium,Supermarket Type3
498,OUT035,Small,Supermarket Type1
499,OUT045,,Supermarket Type1
500,OUT017,,Supermarket Type1
501,OUT049,Medium,Supermarket Type1
502,OUT010,,Grocery Store
503,OUT017,,Supermarket Type1
504,OUT027,Medium,Supermarket Type3
505,OUT018,Medium,Supermarket Type2
506,OUT018,Medium,Supermarket Type2
507,OUT017,,Supermarket Type1
508,OUT035,Small,Supermarket Type1
509,OUT019,Small,Grocery Store
510,OUT010,,Grocery Store
511,OUT045,,Supermarket Type1
512,OUT018,Medium,Supermarket Type2
513,OUT045,,Supermarket Type1
514,OUT013,High,Supermarket Type1
515,OUT045,,Supermarket Type1
516,OUT045,,Supermarket Type1
517,OUT018,Medium,Supermarket Type2
518,OUT027,Medium,Supermarket Type3
519,OUT027,Medium,Supermarket Type3
520,OUT013,High,Supermarket Type1
521,OUT010,,Grocery Store
522,OUT010,,Grocery Store
523,OUT013,High,Supermarket Type1
524,OUT045,,Supermarket Type1
525,OUT046,Small,Supermarket Type1
526,OUT018,Medium,Supermarket Type2
527,OUT019,Small,Grocery Store
528,OUT017,,Supermarket Type1
529,OUT045,,Supermarket Type1
530,OUT013,High,Supermarket Type1
531,OUT010,,Grocery Store
532,OUT010,,Grocery Store
533,OUT049,Medium,Supermarket Type1
534,OUT017,,Supermarket Type1
535,OUT046,Small,Supermarket Type1
536,OUT035,Small,Supermarket Type1
537,OUT027,Medium,Supermarket Type3
538,OUT046,Small,Supermarket Type1
539,OUT035,Small,Supermarket Type1
540,OUT010,,Grocery Store
541,OUT017,,Supermarket Type1
542,OUT027,Medium,Supermarket Type3
543,OUT013,High,Supermarket Type1
544,OUT035,Small,Supermarket Type1
545,OUT019,Small,Grocery Store
546,OUT049,Medium,Supermarket Type1
547,OUT010,,Grocery Store
548,OUT045,,Supermarket Type1
549,OUT049,Medium,Supermarket Type1
550,OUT035,Small,Supermarket Type1
551,OUT046,Small,Supermarket Type1
552,OUT019,Small,Grocery Store
553,OUT046,Small,Supermarket Type1
554,OUT017,,Supermarket Type1
555,OUT017,,Supermarket Type1
556,OUT027,Medium,Supermarket Type3
557,OUT027,Medium,Supermarket Type3
558,OUT017,,Supermarket Type1
559,OUT045,,Supermarket Type1
560,OUT018,Medium,Supermarket Type2
561,OUT010,,Grocery Store
562,OUT049,Medium,Supermarket Type1
563,OUT019,Small,Grocery Store
564,OUT035,Small,Supermarket Type1
565,OUT013,High,Supermarket Type1
566,OUT045,,Supermarket Type1
567,OUT049,Medium,Supermarket Type1
568,OUT049,Medium,Supermarket Type1
569,OUT045,,Supermarket Type1
570,OUT017,,Supermarket Type1
571,OUT018,Medium,Supermarket Type2
572,OUT045,,Supermarket Type1
573,OUT018,Medium,Supermarket Type2
574,OUT019,Small,Grocery Store
575,OUT018,Medium,Supermarket Type2
576,OUT046,Small,Supermarket Type1
577,OUT035,Small,Supermarket Type1
578,OUT013,High,Supermarket Type1
579,OUT049,Medium,Supermarket Type1
580,OUT049,Medium,Supermarket Type1
581,OUT017,,Supermarket Type1
582,OUT018,Medium,Supermarket Type2
583,OUT045,,Supermarket Type1
584,OUT046,Small,Supermarket Type1
585,OUT035,Small,Supermarket Type1
586,OUT045,,Supermarket Type1
587,OUT013,High,Supermarket Type1
588,OUT027,Medium,Supermarket Type3
589,OUT046,Small,Supermarket Type1
590,OUT045,,Supermarket Type1
591,OUT017,,Supermarket Type1
592,OUT035,Small,Supermarket Type1
593,OUT013,High,Supermarket Type1
594,OUT046,Small,Supermarket Type1
595,OUT045,,Supermarket Type1
596,OUT018,Medium,Supermarket Type2
597,OUT017,,Supermarket Type1
598,OUT027,Medium,Supermarket Type3
599,OUT046,Small,Supermarket Type1
600,OUT046,Small,Supermarket Type1
601,OUT046,Small,Supermarket Type1
602,OUT018,Medium,Supermarket Type2
603,OUT049,Medium,Supermarket Type1
604,OUT046,Small,Supermarket Type1
605,OUT035,Small,Supermarket Type1
606,OUT045,,Supermarket Type1
607,OUT035,Small,Supermarket Type1
608,OUT017,,Supermarket Type1
609,OUT046,Small,Supermarket Type1
610,OUT027,Medium,Supermarket Type3
611,OUT045,,Supermarket Type1
612,OUT013,High,Supermarket Type1
613,OUT013,High,Supermarket Type1
614,OUT045,,Supermarket Type1
615,OUT035,Small,Supermarket Type1
616,OUT017,,Supermarket Type1
617,OUT013,High,Supermarket Type1
618,OUT013,High,Supermarket Type1
619,OUT045,,Supermarket Type1
620,OUT049,Medium,Supermarket Type1
621,OUT049,Medium,Supermarket Type1
622,OUT018,Medium,Supermarket Type2
623,OUT018,Medium,Supermarket Type2
624,OUT045,,Supermarket Type1
625,OUT035,Small,Supermarket Type1
626,OUT018,Medium,Supermarket Type2
627,OUT049,Medium,Supermarket Type1
628,OUT027,Medium,Supermarket Type3
629,OUT035,Small,Supermarket Type1
630,OUT027,Medium,Supermarket Type3
631,OUT045,,Supermarket Type1
632,OUT018,Medium,Supermarket Type2
633,OUT019,Small,Grocery Store
634,OUT013,High,Supermarket Type1
635,OUT027,Medium,Supermarket Type3
636,OUT010,,Grocery Store
637,OUT046,Small,Supermarket Type1
638,OUT013,High,Supermarket Type1
639,OUT046,Small,Supermarket Type1
640,OUT027,Medium,Supermarket Type3
641,OUT018,Medium,Supermarket Type2
642,OUT017,,Supermarket Type1
643,OUT018,Medium,Supermarket Type2
644,OUT018,Medium,Supermarket Type2
645,OUT045,,Supermarket Type1
646,OUT017,,Supermarket Type1
647,OUT049,Medium,Supermarket Type1
648,OUT035,Small,Supermarket Type1
649,OUT013,High,Supermarket Type1
650,OUT017,,Supermarket Type1
651,OUT010,,Grocery Store
652,OUT045,,Supermarket Type1
653,OUT018,Medium,Supermarket Type2
654,OUT046,Small,Supermarket Type1
655,OUT046,Small,Supermarket Type1
656,OUT018,Medium,Supermarket Type2
657,OUT018,Medium,Supermarket Type2
658,OUT013,High,Supermarket Type1
659,OUT049,Medium,Supermarket Type1
660,OUT035,Small,Supermarket Type1
661,OUT027,Medium,Supermarket Type3
662,OUT017,,Supermarket Type1
663,OUT013,High,Supermarket Type1
664,OUT018,Medium,Supermarket Type2
665,OUT013,High,Supermarket Type1
666,OUT013,High,Supermarket Type1
667,OUT013,High,Supermarket Type1
668,OUT049,Medium,Supermarket Type1
669,OUT027,Medium,Supermarket Type3
670,OUT018,Medium,Supermarket Type2
671,OUT018,Medium,Supermarket Type2
672,OUT049,Medium,Supermarket Type1
673,OUT017,,Supermarket Type1
674,OUT018,Medium,Supermarket Type2
675,OUT046,Small,Supermarket Type1
676,OUT018,Medium,Supermarket Type2
677,OUT013,High,Supermarket Type1
678,OUT018,Medium,Supermarket Type2
679,OUT017,,Supermarket Type1
680,OUT010,,Grocery Store
681,OUT035,Small,Supermarket Type1
682,OUT017,,Supermarket Type1
683,OUT049,Medium,Supermarket Type1
684,OUT049,Medium,Supermarket Type1
685,OUT027,Medium,Supermarket Type3
686,OUT049,Medium,Supermarket Type1
687,OUT010,,Grocery Store
688,OUT035,Small,Supermarket Type1
689,OUT045,,Supermarket Type1
690,OUT013,High,Supermarket Type1
691,OUT045,,Supermarket Type1
692,OUT027,Medium,Supermarket Type3
693,OUT045,,Supermarket Type1
694,OUT027,Medium,Supermarket Type3
695,OUT027,Medium,Supermarket Type3
696,OUT013,High,Supermarket Type1
697,OUT049,Medium,Supermarket Type1
698,OUT019,Small,Grocery Store
699,OUT035,Small,Supermarket Type1
700,OUT027,Medium,Supermarket Type3
701,OUT035,Small,Supermarket Type1
702,OUT017,,Supermarket Type1
703,OUT035,Small,Supermarket Type1
704,OUT049,Medium,Supermarket Type1
705,OUT046,Small,Supermarket Type1
706,OUT010,,Grocery Store
707,OUT046,Small,Supermarket Type1
708,OUT013,High,Supermarket Type1
709,OUT046,Small,Supermarket Type1
710,OUT046,Small,Supermarket Type1
711,OUT045,,Supermarket Type1
712,OUT010,,Grocery Store
713,OUT049,Medium,Supermarket Type1
714,OUT046,Small,Supermarket Type1
715,OUT019,Small,Grocery Store
716,OUT018,Medium,Supermarket Type2
717,OUT018,Medium,Supermarket Type2
718,OUT046,Small,Supermarket Type1
719,OUT017,,Supermarket Type1
720,OUT018,Medium,Supermarket Type2
721,OUT027,Medium,Supermarket Type3
722,OUT046,Small,Supermarket Type1
723,OUT027,Medium,Supermarket Type3
724,OUT017,,Supermarket Type1
725,OUT027,Medium,Supermarket Type3
726,OUT027,Medium,Supermarket Type3
727,OUT049,Medium,Supermarket Type1
728,OUT046,Small,Supermarket Type1
729,OUT046,Small,Supermarket Type1
730,OUT045,,Supermarket Type1
731,OUT013,High,Supermarket Type1
732,OUT049,Medium,Supermarket Type1
733,OUT045,,Supermarket Type1
734,OUT035,Small,Supermarket Type1
735,OUT017,,Supermarket Type1
736,OUT035,Small,Supermarket Type1
737,OUT049,Medium,Supermarket Type1
738,OUT017,,Supermarket Type1
739,OUT027,Medium,Supermarket Type3
740,OUT017,,Supermarket Type1
741,OUT017,,Supermarket Type1
742,OUT019,Small,Grocery Store
743,OUT046,Small,Supermarket Type1
744,OUT049,Medium,Supermarket Type1
745,OUT049,Medium,Supermarket Type1
746,OUT010,,Grocery Store
747,OUT035,Small,Supermarket Type1
748,OUT035,Small,Supermarket Type1
749,OUT046,Small,Supermarket Type1
750,OUT017,,Supermarket Type1
751,OUT035,Small,Supermarket Type1
752,OUT027,Medium,Supermarket Type3
753,OUT046,Small,Supermarket Type1
754,OUT035,Small,Supermarket Type1
755,OUT046,Small,Supermarket Type1
756,OUT045,,Supermarket Type1
757,OUT046,Small,Supermarket Type1
