,Item_Identifier,Outlet_Identifier,yhat
81,FDW21,OUT018,1452.0365620000011
82,NCH29,OUT046,1927.9970079999998
83,FDU58,OUT013,3358.7013379999976
84,FDY27,OUT017,2509.273698
85,FDV56,OUT035,1307.8575720000008
86,FDT59,OUT046,4357.281494000003
87,FDB23,OUT046,3904.104724000002
88,FDR49,OUT045,752.8866400000002
89,FDB03,OUT010,561.4691399999999
90,FDN39,OUT045,3128.7473339999983
91,FDX02,OUT027,6240.922905999998
92,FDQ16,OUT027,2677.6878080000006
93,FDU35,OUT018,1672.1500420000011
94,NCT29,OUT013,1450.065793999999
95,FDZ27,OUT046,727.6195299999996
96,FDN57,OUT017,2169.096503999999
97,FDA03,OUT018,2336.8381560000003
98,FDZ36,OUT045,3724.205563999999
99,NCU05,OUT013,1213.5336860000002
100,FDT39,OUT018,2272.728274
101,FDK60,OUT017,1753.6772520000006
102,FDZ25,OUT017,3208.3503820000005
103,FDG12,OUT046,2634.657154
104,DRB01,OUT019,499.40326400000015
105,NCC43,OUT027,6535.020081999997
106,FDX13,OUT019,655.8795800000001
107,FDM22,OUT049,884.1757420000004
108,FDJ03,OUT027,1595.1968780000004
109,FDU14,OUT018,3558.6410779999987
110,FDB33,OUT010,400.45206800000017
111,FDP27,OUT046,3476.5346219999974
112,FDO38,OUT010,165.13171600000004
113,FDE28,OUT027,6368.183917999998
114,FDO27,OUT035,1445.7514099999999
115,DRL23,OUT027,2382.045976
116,FDS28,OUT046,796.2967999999995
117,FDX24,OUT013,1215.724167999999
118,FDZ02,OUT035,1042.9890160000002
119,FDL46,OUT045,1508.4431379999996
120,FDS60,OUT027,4511.514064000001
121,NCO06,OUT017,516.341216
122,FDO16,OUT035,1657.2294640000002
123,FDC60,OUT049,1770.8415760000007
124,FDA48,OUT018,4226.671508
125,FDZ36,OUT027,4111.721137999997
126,FDK27,OUT045,1858.9202579999992
127,FDW23,OUT018,514.8564820000004
128,FDM14,OUT018,1299.5284140000003
129,FDM14,OUT013,1791.5213240000012
130,FDW60,OUT018,2820.92802
131,FDE21,OUT013,1710.3469879999998
132,NCM42,OUT035,1664.2003900000002
133,FDY59,OUT010,164.97192400000006
134,DRI49,OUT049,1437.9216020000001
135,FDT28,OUT019,242.31125200000008
136,FDQ22,OUT018,355.98994400000015
137,FDR60,OUT049,1036.6106519999992
138,FDC50,OUT019,325.7027019999999
139,FDV24,OUT013,2264.9850199999996
140,DRF48,OUT010,555.7698920000001
141,FDQ47,OUT046,647.630318
142,DRN36,OUT049,1559.43676
143,NCY06,OUT035,2169.8954639999997
144,FDE52,OUT035,1455.5186959999999
145,NCB54,OUT045,1630.6041219999993
146,NCF31,OUT035,2119.028344000002
147,FDJ08,OUT027,5087.7573059999995
148,NCC07,OUT017,1458.8809859999997
149,NCD19,OUT027,1905.5994959999998
150,FDL46,OUT049,1985.3090719999998
151,FDM20,OUT045,4617.695847999999
152,NCI06,OUT010,491.8863820000003
153,DRM11,OUT035,4262.171964000001
154,NCH07,OUT018,2176.0208239999993
155,FDS23,OUT013,1985.6153400000012
156,FDO49,OUT018,704.1034739999999
157,FDS35,OUT049,1085.6601380000006
158,DRK39,OUT045,1334.1566719999992
159,DRI39,OUT049,886.8855480000001
160,FDV04,OUT017,1798.944993999999
161,NCN14,OUT035,2525.5857980000005
162,FDH08,OUT013,4031.425658000001
163,FDS20,OUT046,3376.784465999999
164,FDV40,OUT049,936.0948259999999
165,FDZ48,OUT010,215.9988360000001
166,FDS24,OUT027,2233.6524719999993
167,FDK44,OUT049,2284.1467440000006
168,FDS48,OUT045,1940.9667920000006
169,FDK26,OUT010,742.0340999999994
170,FDD23,OUT045,3064.0315739999996
171,NCH54,OUT017,2790.3677999999986
172,NCP14,OUT010,226.45855400000005
173,FDM60,OUT010,82.15972000000005
174,FDV24,OUT017,2385.141946
175,FDH08,OUT018,3377.5767679999985
176,FDS12,OUT027,3403.349886
177,FDR39,OUT027,4943.351944
178,FDP12,OUT027,892.4516360000006
179,DRF60,OUT027,6049.884912000004
180,FDC09,OUT035,1461.0115460000002
181,FDF50,OUT018,3027.9785039999992
182,FDG28,OUT035,3203.510015999998
183,NCE19,OUT017,872.5508740000001
184,NCM53,OUT010,274.34288999999995
185,NCN18,OUT049,1576.4412920000002
186,FDF32,OUT035,3374.6206160000015
187,FDF11,OUT013,3198.017166000001
188,DRI59,OUT049,4195.998101999998
189,NCG54,OUT035,3093.1203760000003
190,FDM44,OUT046,1525.194666
191,FDT57,OUT018,2324.920336000001
192,FDV24,OUT046,2241.562176
193,FDI50,OUT019,639.0947620000003
194,FDS09,OUT035,864.3681920000008
195,NCC31,OUT027,3915.603089999998
196,FDQ07,OUT019,511.27447799999993
197,FDC22,OUT017,3117.5152879999973
198,FDZ56,OUT046,3134.033786
199,FDZ40,OUT019,183.65427200000002
200,FDS46,OUT027,2897.2420159999974
201,DRD24,OUT045,2086.9567579999984
202,FDV45,OUT017,3497.653798000001
203,FDL26,OUT045,3273.232591999999
204,FDA56,OUT018,1669.580053999999
205,FDN27,OUT046,1671.6839819999993
206,FDM20,OUT049,5029.925918000001
207,FDO16,OUT017,1928.8692060000008
208,FDL03,OUT035,2971.884853999999
209,FDE58,OUT046,1991.5675919999996
210,FDI02,OUT027,3449.4165879999987
211,NCC55,OUT019,83.07186599999997
212,FDR03,OUT018,3475.163074
213,FDB14,OUT017,1564.7365279999992
214,FDR45,OUT013,5114.349358000004
215,NCN07,OUT017,2015.4631540000014
216,FDM51,OUT019,262.99765800000006
217,FDT52,OUT027,6828.784357999993
218,FDL26,OUT046,3032.685709999997
219,NCZ42,OUT046,4729.457036000002
220,DRI47,OUT019,437.29078200000026
221,FDW40,OUT013,2281.716574
222,FDN34,OUT046,3628.776450000002
223,FDS01,OUT035,2596.8663460000002
224,NCG55,OUT045,1850.1916200000007
225,FDC11,OUT035,1247.023426
226,FDX35,OUT018,3039.297104
227,NCB06,OUT046,1984.0373940000002
228,FDR09,OUT019,456.48579600000005
229,FDC53,OUT017,1459.3337299999994
230,FDY45,OUT013,4234.321550000001
231,FDA22,OUT010,453.56959199999983
232,FDE02,OUT035,1973.2580920000003
233,FDW21,OUT045,1682.4166780000005
234,FDV34,OUT046,1214.7654160000006
235,FDS59,OUT049,2340.5533199999986
236,NCW17,OUT017,2644.6774439999986
237,NCK54,OUT046,1792.9927420000004
238,FDG17,OUT019,592.7217920000002
239,FDG35,OUT017,3533.773448000003
240,FDD08,OUT010,70.734592
241,NCO07,OUT017,4175.198509999999
242,FDJ10,OUT010,368.13413600000007
243,FDW36,OUT017,1544.1366760000005
244,FDW21,OUT010,220.8924659999999
245,FDY19,OUT017,2233.5193119999994
246,DRE03,OUT013,704.0635259999997
247,NCC55,OUT049,812.1894460000002
248,FDH52,OUT010,160.8239900000001
249,FDO09,OUT017,4288.511012000001
250,FDU43,OUT045,4019.148305999999
251,FDX09,OUT010,385.09206200000017
252,FDH40,OUT019,244.99442599999983
253,FDW58,OUT017,1737.1454379999984
254,FDC47,OUT017,5160.163056000001
255,NCR41,OUT035,1416.8357159999994
256,DRG49,OUT035,5690.792340000001
257,FDC52,OUT027,4078.9171719999986
258,FDY13,OUT046,1266.2317560000004
259,FDY35,OUT013,695.6944199999999
260,FDI35,OUT017,4088.0785800000026
261,NCU18,OUT049,2255.2177340000007
262,FDY33,OUT018,2617.852361999999
263,FDC15,OUT027,3966.084045999999
264,FDU01,OUT049,3881.7538179999997
265,NCU42,OUT046,3823.0036259999997
266,NCV29,OUT018,2865.2103780000007
267,NCY30,OUT017,2915.1853260000003
268,FDQ46,OUT049,1834.1591559999995
269,FDG58,OUT027,3490.5363960000004
270,FDK33,OUT017,4563.699468
271,NCD07,OUT045,1084.5881999999992
272,NCX29,OUT027,4234.727688000003
273,NCT42,OUT013,2134.108714
274,DRN59,OUT035,659.30845
275,FDI44,OUT035,1384.8040779999992
276,FDA45,OUT049,2035.4704439999998
277,FDP31,OUT045,829.4336660000004
278,FDY01,OUT046,1876.8635680000004
279,FDT09,OUT018,2207.506505999999
280,DRH03,OUT027,2414.636886
281,FDA36,OUT018,1979.5232700000006
282,NCF31,OUT017,2064.5392720000013
283,FDG14,OUT049,3056.3948480000004
284,FDG28,OUT027,6430.0966599999965
285,FDU14,OUT049,4278.703778000001
286,FDY47,OUT019,325.79591400000004
287,FDI56,OUT049,1372.0406920000003
288,DRD01,OUT013,863.4027819999997
289,FDM22,OUT046,1228.0681000000009
290,FDH33,OUT013,604.7328239999999
291,DRZ24,OUT013,2412.466377999999
292,NCQ38,OUT046,1574.3972860000003
293,FDO16,OUT027,2516.7306579999986
294,FDU07,OUT027,3754.652598
295,NCB07,OUT013,2775.6269879999995
296,FDU48,OUT045,1583.498771999999
297,NCM43,OUT045,2753.8353540000007
298,FDR31,OUT010,353.3866660000001
299,DRK49,OUT018,393.74746200000004
300,NCI30,OUT010,863.1764099999997
301,DRD60,OUT017,3012.1923859999993
302,NCG19,OUT046,2709.0070399999986
303,FDH12,OUT035,1658.228164000001
304,FDM32,OUT035,1314.2559099999992
305,FDM27,OUT035,2809.9489779999985
306,NCU53,OUT027,4002.4633580000045
307,NCQ18,OUT046,2051.1433759999995
308,FDS10,OUT013,3081.5221400000005
309,FDB33,OUT027,3970.7912520000014
310,FDI12,OUT013,1426.0170979999996
311,NCW42,OUT013,4482.4652099999985
312,NCC06,OUT018,1898.5686479999997
313,FDW02,OUT017,2824.729737999999
314,NCD43,OUT017,1515.16106
315,FDM57,OUT018,1024.3732479999994
316,FDA58,OUT017,3630.2212359999994
317,FDK56,OUT046,3337.3291579999977
318,FDP52,OUT045,3569.733306000001
319,FDW20,OUT018,1960.9075020000018
320,FDS52,OUT049,1503.2365820000016
321,NCT29,OUT018,1945.5075480000005
322,NCL54,OUT013,2930.099246000002
323,FDC05,OUT045,2673.206974000001
324,FDF34,OUT035,3225.0419879999995
325,FDP03,OUT027,3169.8271940000004
326,FDD32,OUT010,167.38212000000004
327,FDZ10,OUT045,2032.168076
328,FDZ40,OUT035,914.5961439999999
329,FDD51,OUT018,436.425242
330,NCY30,OUT019,495.9144719999998
331,FDP58,OUT017,3653.3511280000007
332,FDV49,OUT017,4482.079045999998
333,FDY24,OUT019,157.002298
334,NCO55,OUT017,1593.6522219999993
335,FDR13,OUT017,1776.6207199999997
336,FDS51,OUT017,962.9199080000002
337,FDP26,OUT045,1125.481635999999
338,NCB54,OUT027,4020.5065380000015
339,FDF32,OUT017,3126.443666
340,FDN31,OUT018,2564.634968
341,DRM48,OUT017,810.0122800000004
342,FDN20,OUT049,2898.380534000001
343,DRL01,OUT046,3975.578354000002
344,FDV56,OUT049,1136.0678560000001
345,DRH13,OUT027,2425.3895559999996
346,FDA03,OUT017,2667.607596000001
347,FDF47,OUT027,5289.754367999999
348,FDX32,OUT046,2841.121734
349,FDX57,OUT049,1688.914886000001
350,NCA30,OUT045,3205.6405759999993
351,FDO49,OUT013,821.0312700000004
352,FDL04,OUT019,220.4397219999999
353,DRM48,OUT035,822.1431560000002
354,FDR16,OUT013,4688.217383999996
355,NCC19,OUT018,3676.0682239999987
356,NCE42,OUT045,2753.728826
357,FDY24,OUT017,1076.5786260000002
358,FDH19,OUT049,2030.0774639999986
359,FDJ46,OUT013,2613.644506000002
360,FDN45,OUT010,732.3267359999998
361,FDY08,OUT035,2141.286037999998
362,FDZ37,OUT035,1587.6200740000006
363,NCT30,OUT045,790.6241839999993
364,DRY23,OUT018,426.71121999999997
365,NCZ30,OUT018,1983.5913079999996
366,FDC44,OUT018,1758.6174880000005
367,FDB45,OUT035,1664.5665800000006
368,FDY04,OUT013,1930.98645
369,FDM27,OUT046,2913.4742200000023
370,FDZ43,OUT017,4855.765953999997
371,FDT39,OUT019,388.33450800000014
372,NCC06,OUT019,300.36235400000004
373,FDL15,OUT027,4378.493881999999
374,FDL57,OUT017,5477.390123999999
375,FDU08,OUT046,1313.5767939999998
376,FDK40,OUT017,4273.963282000002
377,FDQ12,OUT010,570.0579600000005
378,FDS48,OUT017,2533.7285320000015
379,FDP09,OUT045,4133.599326000002
380,FDW21,OUT049,1580.3229060000003
381,FDY25,OUT035,4053.42369
382,DRE13,OUT017,1403.1202359999993
383,FDV43,OUT019,85.08258199999996
384,FDD22,OUT045,2048.9995
385,FDM46,OUT019,295.98139
386,NCO30,OUT010,495.27530399999966
387,FDM25,OUT046,3021.080816
388,NCN41,OUT049,2321.1585660000005
389,FDU24,OUT045,1549.4098119999992
390,FDZ50,OUT046,3300.490444
391,FDP45,OUT013,3225.4148360000027
392,NCM54,OUT045,1905.7992359999996
393,FDW10,OUT019,282.39907000000045
394,FDP20,OUT017,1564.969558
395,FDK32,OUT046,2851.9875900000006
396,FDN52,OUT049,1154.9499440000002
397,FDM58,OUT045,2209.483931999999
398,FDZ46,OUT027,3000.867128000002
399,NCA18,OUT018,1434.552654
400,FDD35,OUT046,2013.4724119999998
401,NCK31,OUT035,681.9256759999996
402,FDI40,OUT027,2998.969597999998
403,FDT50,OUT019,268.4505599999999
404,NCT06,OUT046,2685.9237539999995
405,FDT31,OUT035,3002.045594
406,FDT45,OUT049,849.3810339999999
407,FDT13,OUT045,3260.9019759999983
408,FDO50,OUT045,1563.7578019999994
409,NCU18,OUT010,451.64543000000003
410,NCR54,OUT049,3422.3784499999992
411,NCO18,OUT018,2776.925298
412,FDU09,OUT045,836.4978039999997
413,FDT13,OUT018,2716.2775759999995
414,FDE09,OUT046,1755.4882279999997
415,NCK53,OUT019,338.39285
416,FDG45,OUT049,3612.4909819999984
417,DRH15,OUT035,885.0013340000008
418,FDO21,OUT019,736.9407300000001
419,FDD14,OUT027,5836.196402000001
420,FDC09,OUT046,1340.228768000001
421,FDH45,OUT027,1050.7589019999991
422,FDV32,OUT046,1282.9965999999995
423,FDG12,OUT035,2389.7093339999997
424,FDS32,OUT013,1859.4995040000003
425,NCL55,OUT018,3780.718668000001
426,DRE01,OUT035,4833.534892
427,DRE15,OUT049,1406.9685599999998
428,NCL42,OUT045,4841.637678000003
429,FDP31,OUT013,967.6204559999999
430,FDN33,OUT018,1117.006002
431,FDZ59,OUT046,3241.9067020000016
432,FDE45,OUT010,384.5727380000001
433,FDJ07,OUT013,1805.9026039999999
434,FDQ45,OUT018,3056.2084239999995
435,FDM33,OUT027,4427.1638619999985
436,FDO15,OUT010,163.36068799999998
437,FDM46,OUT013,1633.7600139999995
438,FDR03,OUT045,3365.5124719999976
439,FDY49,OUT018,2307.536297999999
440,FDQ60,OUT045,1754.8823499999987
441,FDW10,OUT049,3526.8557860000005
442,FDO51,OUT049,690.06841
443,FDJ40,OUT018,1305.4873240000013
444,FDS20,OUT018,2690.1049779999994
445,FDU45,OUT013,2385.6013480000006
446,FDV02,OUT035,2568.556530000001
447,FDN09,OUT046,3874.203646000001
448,NCM55,OUT027,4332.879924000003
449,FDN23,OUT018,2526.3714419999997
450,FDY31,OUT010,414.15423200000026
451,FDW03,OUT010,251.47265999999982
452,FDD14,OUT046,3011.453348000003
453,FDV23,OUT017,1770.9813939999995
454,DRI03,OUT045,3010.454648000003
455,FDN13,OUT035,1420.1846899999998
456,FDF45,OUT027,1960.8875279999995
457,FDU46,OUT035,1398.779219999999
458,FDB57,OUT049,3317.261946
459,FDV12,OUT049,2042.5345820000005
460,FDQ58,OUT013,2049.139318000001
461,NCA18,OUT017,1311.1865719999996
462,FDH52,OUT049,783.9395520000002
463,FDM24,OUT018,2759.021936000001
464,NCP43,OUT027,3916.6683700000017
465,NCO18,OUT019,428.34908799999977
466,FDM32,OUT017,1196.3893359999995
467,NCL07,OUT017,546.1557399999999
468,FDK03,OUT013,5632.827792000002
469,FDP59,OUT017,1679.4072620000006
470,FDQ24,OUT049,4137.9336840000005
471,FDQ16,OUT018,1393.8256680000009
472,FDU44,OUT013,2487.8083060000004
473,FDH28,OUT010,73.80393000000005
474,FDV28,OUT019,88.55805799999996
475,FDM22,OUT045,996.8357600000003
476,FDR56,OUT046,2862.513887999999
477,FDV39,OUT049,2836.2081299999995
478,FDU37,OUT019,221.75134800000006
479,FDQ11,OUT010,763.8390500000003
480,FDX02,OUT045,4072.7385480000003
481,NCS42,OUT018,1365.941964
482,FDY57,OUT027,2561.4990500000004
483,FDB21,OUT049,3870.6549320000026
484,FDE28,OUT017,3903.3124219999986
485,FDQ55,OUT017,2673.946012
486,FDA48,OUT049,3789.387383999997
487,FDZ19,OUT045,2503.9939040000013
488,NCC43,OUT045,2863.932042
489,NCV18,OUT046,2369.8485199999977
490,NCA42,OUT018,2997.598049999999
491,FDY45,OUT046,3621.3794120000007
492,NCC30,OUT045,2557.737280000002
493,FDM57,OUT013,1487.0443260000002
494,FDL09,OUT010,427.3503879999999
495,FDB09,OUT027,4271.093684000002
496,FDT44,OUT035,1578.7516180000011
497,NCT06,OUT027,3911.5883160000008
498,FDX26,OUT049,3893.338738
499,FDK32,OUT013,2632.2136679999994
500,DRA12,OUT046,2206.381304
501,FDO46,OUT010,591.4700879999999
502,FDE52,OUT013,1329.2763579999994
503,NCH42,OUT045,4083.970594000002
504,FDV08,OUT035,620.8118940000003
505,FDB47,OUT018,2711.517106000001
506,FDC28,OUT010,173.13463199999995
507,FDD22,OUT046,2096.997022
508,FDS07,OUT027,3267.786348
509,DRI13,OUT045,3498.5459699999988
510,FDG32,OUT018,4062.9978939999987
511,FDU14,OUT017,4138.8058820000015
512,FDD28,OUT019,150.91022800000007
513,NCP41,OUT017,1426.017098
514,FDS08,OUT049,2461.715604000001
515,FDX47,OUT045,2142.6975340000013
516,FDC53,OUT019,212.72309999999993
517,FDQ19,OUT035,3446.5603059999976
518,FDL14,OUT045,2281.689942000001
519,FDM33,OUT019,718.378226
520,FDA51,OUT045,1972.192812
521,FDZ27,OUT018,586.250216
522,FDT04,OUT046,592.315654
523,DRC13,OUT049,2218.8717119999988
524,FDR16,OUT027,5179.164987999998
525,FDQ03,OUT027,6670.503724000002
526,FDE38,OUT035,2740.0200039999995
527,DRH23,OUT027,2142.7441400000025
528,FDT11,OUT019,546.9347259999996
529,FDD09,OUT035,2555.6932739999993
530,FDR40,OUT045,1488.6289299999999
531,FDX07,OUT017,2927.5825219999992
532,FDR07,OUT035,1554.296784000001
533,FDA51,OUT017,2075.5449460000004
534,FDT59,OUT019,555.104092
535,FDF20,OUT017,3185.533416000001
536,FDR13,OUT045,1842.6015000000004
537,FDY26,OUT049,5493.935254
538,FDW04,OUT017,1656.4038720000003
539,FDK52,OUT017,4440.839393999998
540,FDN60,OUT049,3056.9807519999995
541,FDM09,OUT019,372.0756719999999
542,FDP46,OUT049,1524.6886580000003
543,FDB50,OUT019,254.35557399999988
544,NCQ29,OUT049,3325.264861999999
545,FDP16,OUT027,7011.07374
546,FDX33,OUT018,2209.863438
547,FDP07,OUT010,490.17527599999977
548,FDN22,OUT046,3661.220884000001
549,FDF39,OUT049,4443.509252000003
550,FDS21,OUT017,817.5225040000005
551,NCM42,OUT013,1937.6977140000004
552,FDK50,OUT019,421.4247680000001
553,DRF13,OUT027,2945.405988000001
554,FDH35,OUT018,1962.1392319999995
555,FDP60,OUT018,1581.0286540000004
556,DRJ49,OUT027,2613.1052080000027
557,NCT42,OUT019,344.2984959999999
558,FDE38,OUT049,2699.905554
559,FDI04,OUT049,3534.3327199999994
560,NCH54,OUT045,2787.5714399999983
561,FDT56,OUT049,747.3605000000003
562,DRD15,OUT018,2814.7027900000016
563,FDV58,OUT013,3013.816937999999
564,FDP21,OUT049,3547.6686939999986
565,FDH05,OUT013,3901.574684
566,FDR10,OUT027,4994.784994000002
567,NCP06,OUT045,2019.7442480000013
568,FDF33,OUT049,1782.4597860000013
569,DRK37,OUT013,4044.914765999998
570,DRH49,OUT045,988.2735719999997
571,FDT58,OUT013,2440.9293279999983
572,FDD41,OUT018,1484.5409179999997
573,FDP40,OUT018,1885.5189680000012
574,FDM51,OUT027,2536.132069999999
575,FDO45,OUT010,201.29131400000003
576,FDW33,OUT010,237.69725799999998
577,FDY24,OUT045,945.03652
578,FDB10,OUT010,539.0583120000001
579,FDM40,OUT035,2011.6814100000013
580,NCI06,OUT017,3795.8123540000006
581,FDW12,OUT019,309.610316
582,FDX48,OUT027,4117.5602039999985
583,NCW05,OUT027,2169.709039999999
584,FDX27,OUT017,1631.549558
585,DRM37,OUT045,3902.15393
586,FDA38,OUT045,3745.065077999999
587,FDR36,OUT046,699.5693760000005
588,FDZ45,OUT046,3310.530708
589,FDG05,OUT017,2373.3373120000015
590,FDK28,OUT013,5604.997352000001
591,FDV47,OUT045,1539.62921
592,FDN21,OUT045,2222.5735600000007
593,FDP20,OUT027,3542.7484320000035
594,FDI35,OUT045,3992.989024000003
595,DRY23,OUT013,530.7358120000001
596,FDA56,OUT017,2295.3521579999997
597,FDB09,OUT013,1596.1689460000002
598,NCO26,OUT027,2991.053236
599,FDQ49,OUT018,2126.205668
600,FDI52,OUT027,2696.083862
601,FDZ44,OUT027,3110.9904480000005
602,FDZ09,OUT018,2829.8097920000005
603,FDY03,OUT049,1981.9134920000004
604,NCG42,OUT017,2045.410837999999
605,DRI13,OUT027,6073.673946
606,FDQ32,OUT013,2322.217187999999
607,FDW16,OUT035,1374.351018
608,FDU27,OUT046,936.6674139999996
609,FDR28,OUT010,456.9185659999998
610,FDQ49,OUT010,415.3593299999999
611,FDS37,OUT046,1758.8238859999992
612,FDW26,OUT018,3087.6208679999995
613,FDX12,OUT018,3225.9474759999985
614,NCP06,OUT013,2311.903946000001
615,FDW45,OUT010,226.944588
616,NCN30,OUT049,1219.066484000001
617,FDN24,OUT049,961.4618059999997
618,NCL41,OUT027,1147.2066900000002
619,FDR02,OUT019,251.13310200000006
620,FDD09,OUT010,433.5156960000001
621,FDS33,OUT010,216.19857600000003
622,FDU22,OUT045,2260.663978000001
623,FDI53,OUT013,2380.8209039999997
624,DRH01,OUT049,2683.8398000000016
625,FDX32,OUT013,2529.201091999999
626,NCP30,OUT018,517.1335180000002
627,FDB60,OUT045,3039.2438400000015
628,FDB14,OUT049,1503.096764
629,NCP02,OUT035,782.1485500000006
630,FDJ10,OUT017,1952.8779540000005
631,FDG34,OUT046,1623.4667460000005
632,NCB18,OUT017,1475.0332940000005
633,FDM16,OUT049,1272.0375319999991
634,FDW25,OUT018,1169.4444099999998
635,FDB35,OUT010,196.97027200000005
636,DRN11,OUT013,1972.319314000001
637,FDF41,OUT019,535.1766980000002
638,FDH16,OUT045,1311.3996279999994
639,NCQ50,OUT018,3064.4776599999987
640,DRH23,OUT018,789.4324019999997
641,DRJ37,OUT013,2199.2905339999993
642,DRJ24,OUT027,5426.263341999999
643,FDY16,OUT035,2980.7067040000024
644,FDQ27,OUT045,2095.7120280000004
645,FDZ33,OUT045,1987.985588000001
646,FDF29,OUT045,2087.1032340000024
647,FDA08,OUT049,2664.997660000002
648,FDG31,OUT046,1183.5260799999996
649,FDE34,OUT019,377.53523199999995
650,NCR30,OUT027,1989.516928
651,FDV33,OUT035,3639.6023580000015
652,DRZ24,OUT018,1301.4392599999996
653,NCL54,OUT035,3135.638364000001
654,FDR12,OUT049,2530.166502000001
655,NCC54,OUT046,4152.135197999998
656,DRN59,OUT013,844.1411879999998
657,FDX50,OUT019,269.2029140000001
658,FDV31,OUT027,4808.946898000001
659,NCA29,OUT027,4825.472054000002
660,FDW60,OUT049,2950.9587600000023
661,FDX08,OUT017,3646.593257999999
662,DRD49,OUT013,3633.5302620000016
663,FDD33,OUT046,3384.5410360000005
664,FDW35,OUT013,814.4797980000004
665,FDJ36,OUT017,1859.5860579999999
666,FDV51,OUT035,2895.763939999999
667,FDW36,OUT046,1825.1442240000022
668,FDH35,OUT046,1995.5157860000013
669,NCS30,OUT027,2749.993688000001
670,FDN49,OUT017,608.8607840000001
671,FDL08,OUT018,3638.1842039999988
672,FDI09,OUT013,3965.5580639999994
673,FDP19,OUT018,2002.3269200000009
674,FDU21,OUT010,75.96112199999999
675,NCP41,OUT045,1374.4908359999995
676,FDY10,OUT013,1980.774974
677,FDP12,OUT018,493.48430200000024
678,NCN26,OUT049,1947.6780559999997
679,FDK44,OUT013,2820.069137999998
680,FDC28,OUT049,1546.3537900000003
681,FDJ41,OUT027,5859.479428000003
682,NCT29,OUT035,1569.769976
683,NCH42,OUT019,491.9795939999999
684,FDU60,OUT018,3083.000216
685,FDS02,OUT045,3442.5188999999996
686,FDC51,OUT046,2389.902416000001
687,FDU03,OUT013,3107.35518
688,FDX39,OUT045,4296.886775999997
689,NCY05,OUT010,95.33590200000005
